symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence
mitochondrial import inner membrane translocase subunit TIM22-4,Os03g0296300,,,biogenesis,import_TIM22,False,rice ortholog of Sc TIM22; two-hop yeast->At(AT3G10110)->Os ortholog_one2one,YDL217C,TIM22,panther_LDO+ensembl_compara_AtOs,high
sphingoid long-chain bases kinase 1,Os04g0541500,,,biogenesis,import_TIM22,False,rice ortholog of Sc TIM54; two-hop yeast->At(AT5G23450)->Os ortholog_one2many,YJL054W,TIM54,panther_O+ensembl_compara_AtOs,medium
sphingoid long-chain bases kinase 1,Os10g0516800,,,biogenesis,import_TIM22,False,rice ortholog of Sc TIM54; two-hop yeast->At(AT5G23450)->Os ortholog_one2many,YJL054W,TIM54,panther_O+ensembl_compara_AtOs,medium
sphingosine kinase 2,Os01g0782200,,,biogenesis,import_TIM22,False,rice ortholog of Sc TIM54; two-hop yeast->At(AT4G21534)->Os ortholog_one2many,YJL054W,TIM54,panther_O+ensembl_compara_AtOs,medium
mitochondrial intermembrane space import and assembly protein 40 homolog,Os04g0527700,,,biogenesis,import_MIA,False,rice ortholog of Sc MIA40; two-hop yeast->At(AT5G23395)->Os ortholog_one2one,YKL195W,MIA40,panther_LDO+ensembl_compara_AtOs,high
sulfhydryl oxidase 1-like,Os05g0552500,,,biogenesis,import_MIA,False,"sulfhydryl oxidase (ERV/ALR family); reciprocal returned AT1G15020/AT2G01270, NOT expected AT1G49880 (RBH unconfirmed)",YGR029W,ERV1,mygene_rice_named+reciprocal,low
"MICOS complex subunit MIC60, mitochondrial",Os04g0636600,,,biogenesis,cristae_MICOS,False,RAP-DB named MIC60; no At-Os Compara call; reciprocal-unverified (name-match only),YKR016W,MIC60,mygene_rice_named+reciprocal,low
MICOS complex subunit MIC10,Os03g0840900,,,biogenesis,cristae_MICOS,False,rice ortholog of Sc MIC10; two-hop yeast->At(AT1G22520)->Os ortholog_one2many,YCL057C-A,MIC10,panther_LDO+ensembl_compara_AtOs,medium
Os02g0226300,Os02g0226300,,,biogenesis,fusion,False,rice ortholog of Sc UGO1; two-hop yeast->At(AT4G26180)->Os ortholog_one2one,YDR470C,UGO1,panther_O+ensembl_compara_AtOs,high
mitochondrial carrier protein CoAc1,Os01g0571000,,,biogenesis,fusion,False,rice ortholog of Sc UGO1; two-hop yeast->At(AT1G14560)->Os ortholog_one2many,YDR470C,UGO1,panther_O+ensembl_compara_AtOs,medium
mitochondrial carrier protein CoAc1,Os01g0708900,,,biogenesis,fusion,False,rice ortholog of Sc UGO1; two-hop yeast->At(AT1G14560)->Os ortholog_one2many,YDR470C,UGO1,panther_O+ensembl_compara_AtOs,medium
dynamin-related protein 3A,Os01g0920400,,,biogenesis,fission,False,rice ortholog of Sc DNM1; two-hop yeast->At(AT4G33650)->Os ortholog_many2many,YLL001W,DNM1,panther_LDO+ensembl_compara_AtOs,low
dynamin-related protein 3B,Os04g0381000,Q0JDS3,,biogenesis,fission,False,rice ortholog of Sc DNM1; two-hop yeast->At(AT4G33650)->Os ortholog_many2many,YLL001W,DNM1,panther_LDO+ensembl_compara_AtOs,low
mitochondrial fission 1 protein A,Os01g0951800,,,biogenesis,fission,False,rice ortholog of Sc FIS1; two-hop yeast->At(AT5G12390)->Os ortholog_many2many,YIL065C,FIS1,panther_O+ensembl_compara_AtOs,low
mitochondrial fission 1 protein A,Os03g0356484,,,biogenesis,fission,False,rice ortholog of Sc FIS1; two-hop yeast->At(AT5G12390)->Os ortholog_many2many,YIL065C,FIS1,panther_O+ensembl_compara_AtOs,low
mitochondrial fission 1 protein A,Os05g0383000,,,biogenesis,fission,False,rice ortholog of Sc FIS1; two-hop yeast->At(AT5G12390)->Os ortholog_many2many,YIL065C,FIS1,panther_O+ensembl_compara_AtOs,low
uncharacterized LOC4333750,Os03g0685600,,,biogenesis,fission,False,rice ortholog of Sc MDV1; two-hop yeast->At(AT1G71840)->Os ortholog_one2one,YJL112W,MDV1,panther_O+ensembl_compara_AtOs,high
ribosome biogenesis protein WDR12 homolog,Os07g0600400,Q8H594,,biogenesis,fission,False,rice ortholog of Sc CAF4; two-hop yeast->At(AT5G15550)->Os ortholog_one2one,YKR036C,CAF4,panther_O+ensembl_compara_AtOs,high
