symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence
dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit-like,Os07g0209000,,,biogenesis,OST,False,rice ortholog of Sc WBP1; two-hop yeast->At(AT5G66680)->Os ortholog_one2one,YEL002C,WBP1,panther_O+ensembl_compara_AtOs,high
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2-like,Os01g0911200,,,biogenesis,OST,False,rice ortholog of Sc SWP1; two-hop yeast->At(AT4G21150)->Os ortholog_one2one,YMR149W,SWP1,panther_LDO+ensembl_compara_AtOs,high
heat shock 70 kDa protein BIP4-like,Os05g0591400,,,biogenesis,ER_chaperone_folding,False,rice ortholog of Sc KAR2; two-hop yeast->At(AT5G28540)->Os ortholog_many2many,YJL034W,KAR2,panther_LDO+ensembl_compara_AtOs,low
luminal-binding protein 4,Os06g0212900,,,biogenesis,ER_chaperone_folding,False,rice ortholog of Sc KAR2; two-hop yeast->At(AT5G28540)->Os ortholog_many2many,YJL034W,KAR2,panther_LDO+ensembl_compara_AtOs,low
PDIL5,Os02g0550300,,,biogenesis,ER_chaperone_folding,False,rice ortholog of Sc PDI1; two-hop yeast->At(AT1G35620)->Os ortholog_one2many,YCL043C,PDI1,panther_LDO+ensembl_compara_AtOs,medium
protein disulfide isomerase-like 5-2,Os04g0432500,,,biogenesis,ER_chaperone_folding,False,rice ortholog of Sc PDI1; two-hop yeast->At(AT1G35620)->Os ortholog_one2many,YCL043C,PDI1,panther_LDO+ensembl_compara_AtOs,medium
heat shock 70 kDa protein 17,Os02g0710900,,,biogenesis,ER_chaperone_folding,False,rice ortholog of Sc LHS1; two-hop yeast->At(AT4G16660)->Os ortholog_one2one,YKL073W,LHS1,panther_LDO+ensembl_compara_AtOs,high
serine/threonine-protein kinase/endoribonuclease IRE1-like,Os07g0471000,,,biogenesis,UPR_sensor_machinery,False,rice ortholog of Sc IRE1; two-hop yeast->At(AT2G17520)->Os ortholog_one2many,YHR079C,IRE1,panther_LDO+ensembl_compara_AtOs,medium
inositol-3-phosphate synthase 1-like,Os03g0192700,,,biogenesis,lipid_membrane_biogenesis,False,rice ortholog of Sc INO1; two-hop yeast->At(AT2G22240)->Os ortholog_many2many,YJL153C,INO1,panther_LDO+ensembl_compara_AtOs,low
inositol-3-phosphate synthase 1-like,Os10g0369900,,,biogenesis,lipid_membrane_biogenesis,False,rice ortholog of Sc INO1; two-hop yeast->At(AT2G22240)->Os ortholog_many2many,YJL153C,INO1,panther_LDO+ensembl_compara_AtOs,low
phosphatidyl-N-methylethanolamine N-methyltransferase,Os02g0612100,,,biogenesis,lipid_membrane_biogenesis,False,rice ortholog of Sc OPI3; two-hop yeast->At(AT1G80860)->Os ortholog_one2one,YJR073C,OPI3,panther_LDO+ensembl_compara_AtOs,high
phosphoethanolamine N-methyltransferase,Os01g0695100,,,biogenesis,lipid_membrane_biogenesis,False,phosphoethanolamine N-MT; reciprocal Os->At confirmed expected AT3G18000,YGR157W,CHO2,mygene_rice_named+reciprocal,medium
phosphoethanolamine N-methyltransferase 1,Os05g0548900,,,biogenesis,lipid_membrane_biogenesis,False,phosphoethanolamine N-MT; reciprocal Os->At confirmed expected AT3G18000,YGR157W,CHO2,mygene_rice_named+reciprocal,medium
acetyl-CoA carboxylase 2-like,Os05g0295300,,,biogenesis,lipid_membrane_biogenesis,False,rice ortholog of Sc ACC1; two-hop yeast->At(AT1G36160)->Os ortholog_many2many,YNR016C,ACC1,panther_LDO+ensembl_compara_AtOs,low
acetyl-CoA carboxylase 1-like,Os10g0363300,Q8S6N5,,biogenesis,lipid_membrane_biogenesis,False,rice ortholog of Sc ACC1; two-hop yeast->At(AT1G36160)->Os ortholog_many2many,YNR016C,ACC1,panther_LDO+ensembl_compara_AtOs,low
