symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence
peroxisome biogenesis protein 3-1,Os09g0314300,,,biogenesis,denovo,False,poorly-conserved peroxin; no At-Os Compara call; rice locus by RAP-DB functional name (reciprocal-unverified),YDR329C,PEX3,mygene_rice_named,low
peroxisomal membrane protein 11-3-like,Os03g0302000,,,biogenesis,fission,False,rice ortholog of At PEX11A (AT1G47750); At-Os ortholog_one2many; yeast seed PEX11,YOL147C,PEX11,ensembl_compara_AtOs,medium
peroxisomal membrane protein 11-4-like,Os04g0534600,,,biogenesis,fission,False,rice ortholog of At PEX11B (AT3G47430); At-Os ortholog_one2one; yeast seed PEX11,YOL147C,PEX11,ensembl_compara_AtOs,high
peroxisomal membrane protein 11-1-like,Os03g0117100,,,biogenesis,fission,False,rice ortholog of At PEX11C (AT1G01820); At-Os ortholog_many2many; yeast seed PEX11,YOL147C,PEX11,ensembl_compara_AtOs,low
peroxisomal membrane protein 11-5-like,Os06g0127000,,,biogenesis,fission,False,rice ortholog of At PEX11C (AT1G01820); At-Os ortholog_many2many; yeast seed PEX11,YOL147C,PEX11,ensembl_compara_AtOs,low
mitochondrial fission 1 protein A,Os01g0951800,,,biogenesis,fission,False,rice ortholog of At FIS1A (AT3G57090); At-Os ortholog_many2many; yeast seed FIS1,YIL065C,FIS1,ensembl_compara_AtOs,low
mitochondrial fission 1 protein A,Os03g0356484,,,biogenesis,fission,False,rice ortholog of At FIS1A (AT3G57090); At-Os ortholog_many2many; yeast seed FIS1,YIL065C,FIS1,ensembl_compara_AtOs,low
mitochondrial fission 1 protein A,Os05g0383000,,,biogenesis,fission,False,rice ortholog of At FIS1A (AT3G57090); At-Os ortholog_many2many; yeast seed FIS1,YIL065C,FIS1,ensembl_compara_AtOs,low
dynamin-related protein 3A,Os01g0920400,,,biogenesis,fission,False,rice ortholog of At DRP3A (AT4G33650); At-Os ortholog_many2many; yeast seed DNM1,YLL001W,DNM1,ensembl_compara_AtOs,low
dynamin-related protein 3B,Os04g0381000,Q0JDS3,,biogenesis,fission,False,rice ortholog of At DRP3A (AT4G33650); At-Os ortholog_many2many; yeast seed DNM1,YLL001W,DNM1,ensembl_compara_AtOs,low
dynamin-like protein ARC5,Os12g0178700,,,biogenesis,fission,False,rice ortholog of At DRP5B (AT3G19720); At-Os ortholog_one2one; yeast seed nan,,,ensembl_compara_AtOs,high
